filename,greedy__pace23,adaptiveGreedy__pace23
heuristic_164.hgr,266637.0,265672.0
heuristic_165.hgr,206938.0,206884.0
heuristic_166.hgr,144654.0,144240.0
heuristic_167.hgr,40314.0,40275.0
heuristic_168.hgr,110466.0,107653.0
heuristic_169.hgr,221259.0,219221.0
heuristic_170.hgr,18050.0,17599.0
heuristic_171.hgr,248301.0,234735.0
heuristic_172.hgr,61656.0,61561.0
heuristic_173.hgr,148239.0,147783.0
heuristic_174.hgr,376127.0,373540.0
heuristic_175.hgr,270859.0,270859.0
heuristic_176.hgr,66879.0,66879.0
heuristic_177.hgr,194853.0,194840.0
heuristic_178.hgr,276746.0,276746.0
heuristic_179.hgr,193524.0,192958.0
heuristic_180.hgr,515394.0,513403.0
heuristic_181.hgr,349433.0,348727.0
heuristic_182.hgr,33563.0,33499.0
heuristic_183.hgr,331542.0,331380.0
heuristic_184.hgr,339735.0,338800.0
heuristic_185.hgr,340788.0,340643.0
heuristic_186.hgr,119173.0,119021.0
heuristic_187.hgr,666476.0,666476.0
heuristic_188.hgr,865922.0,862589.0
heuristic_189.hgr,740986.0,738635.0
heuristic_190.hgr,893674.0,890255.0
heuristic_191.hgr,718027.0,717832.0
heuristic_192.hgr,1150279.0,1143869.0
heuristic_193.hgr,888240.0,888049.0
heuristic_194.hgr,888240.0,888049.0
heuristic_195.hgr,1724264.0,1715908.0
heuristic_196.hgr,1748154.0,1739937.0
heuristic_197.hgr,1565565.0,1551860.0
heuristic_198.hgr,1630117.0,1629925.0
heuristic_199.hgr,1870730.0,1848805.0
heuristic_200.hgr,1829053.0,1809020.0
AVERAGE,151472.2663316583,150460.59798994975
