filename,greedy__pace23,adaptiveGreedy__pace23
heuristic_191.hgr,718017.0,717818.0
heuristic_192.hgr,1150339.0,1143894.0
heuristic_193.hgr,888247.0,888069.0
heuristic_194.hgr,888247.0,888069.0
heuristic_195.hgr,1723847.0,1715496.0
heuristic_196.hgr,1748239.0,1740071.0
heuristic_197.hgr,1565557.0,1551951.0
heuristic_198.hgr,1630101.0,1629873.0
heuristic_199.hgr,1870773.0,1848779.0
heuristic_200.hgr,1829026.0,1809131.0
AVERAGE,151411.58793969848,150402.16582914573
