filename,greedy___hse,greedy_ku__hse,greedy_kv__hse,greedy_ku_kv__hse,greedy_ke__hse,greedy_ku_ke__hse,greedy_kv_ke__hse,greedy_ku_kv_ke__hse,adaptivegreedy___hse,adaptivegreedy_ku__hse,adaptivegreedy_kv__hse,adaptivegreedy_ku_kv__hse,adaptivegreedy_ke__hse,adaptivegreedy_ku_ke__hse,adaptivegreedy_kv_ke__hse,adaptivegreedy_ku_kv_ke__hse,vc___hse,vc_ku__hse,vc_kv__hse,vc_ku_kv__hse,vc_ke__hse,vc_ku_ke__hse,vc_kv_ke__hse,vc_ku_kv_ke__hse
exact_021.hgr,0.4737651348114013,0.4318225383758545,0.49884033203125,0.4404482841491699,0.5824809074401855,0.8408758640289307,0.775413990020752,0.6473293304443359,0.0456278324127197,0.0279133319854736,0.0362720489501953,0.0541701316833496,0.2292637825012207,0.213573932647705,0.2662742137908935,0.3660454750061035,0.8314206600189209,1.3708598613739014,1.476978778839111,1.3442485332489014,1.6315100193023682,1.3748447895050049,1.702134609222412,1.3674170970916748
exact_022.hgr,0.4311811923980713,0.5403304100036621,0.5090136528015137,0.5374948978424072,0.7303564548492432,0.9858417510986328,0.9011542797088624,0.8729267120361328,0.0413260459899902,0.0384941101074218,0.0844330787658691,0.0540812015533447,0.2947821617126465,0.2907657623291015,0.3165943622589111,0.390394926071167,2.600604772567749,3.2581589221954346,2.6328248977661133,2.742643117904663,3.0417234897613525,3.6759209632873535,2.6922404766082764,2.688631534576416
exact_023.hgr,0.1448965072631836,0.1338739395141601,0.173248291015625,0.2032866477966308,0.2548177242279053,0.3665368556976318,0.3911559581756592,0.2612123489379883,0.0399136543273925,0.0379068851470947,0.0736825466156005,0.0350520610809326,0.1095261573791503,0.1575939655303955,0.1161694526672363,0.2003123760223388,0.91711688041687,1.0424485206604004,0.931509256362915,1.0073065757751465,1.1537249088287354,0.8883311748504639,0.9963536262512208,1.2656567096710205
exact_024.hgr,0.0299503803253173,0.0296401977539062,0.0307950973510742,0.042403221130371,0.0508680343627929,0.1015570163726806,0.0690093040466308,0.0770058631896972,0.0328404903411865,0.0282044410705566,0.0477635860443115,0.0313427448272705,0.035229206085205,0.0383939743041992,0.0562138557434082,0.035233736038208,0.2017691135406494,0.1027452945709228,0.1576259136199951,0.2029943466186523,0.3118655681610107,0.1671791076660156,0.1899292469024658,0.1632945537567138
exact_025.hgr,0.0305395126342773,0.0230791568756103,0.0303852558135986,0.0293409824371337,0.0736711025238037,0.0960049629211425,0.0661802291870117,0.0601937770843505,0.0300915241241455,0.0236549377441406,0.0492918491363525,0.0257830619812011,0.0232234001159667,0.0391473770141601,0.0402717590332031,0.0366311073303222,0.13346529006958,0.0944051742553711,0.238086462020874,0.1364734172821045,0.3214402198791504,0.137265920639038,0.1357471942901611,0.1902863979339599
exact_026.hgr,0.5913550853729248,0.670680046081543,0.6407020092010498,0.6140155792236328,0.9253511428833008,1.2527203559875488,1.4045426845550537,1.0716021060943604,0.0872025489807128,0.0429639816284179,0.077404499053955,0.0917518138885498,0.3819501399993896,0.3762722015380859,0.3823034763336181,0.4229152202606201,3.668853998184204,3.864827871322632,4.382462501525879,3.973258018493652,4.051809787750244,4.797827959060669,3.313222885131836,3.552273750305176
exact_027.hgr,0.0550990104675293,0.0521061420440673,0.0234665870666503,0.0700485706329345,0.0396969318389892,0.0534853935241699,0.0653333663940429,0.0776340961456298,0.0257728099822998,0.0383472442626953,0.0333995819091796,0.0341863632202148,0.0488781929016113,0.0420179367065429,0.0345990657806396,0.0376772880554199,0.1734516620635986,0.1190450191497802,0.2039403915405273,0.0886275768280029,0.1393108367919922,0.237642765045166,0.1328794956207275,0.2451193332672119
exact_028.hgr,0.1221683025360107,0.1007404327392578,0.1633088588714599,0.1287891864776611,0.2070193290710449,0.2511765956878662,0.2788197994232178,0.212536334991455,0.0478878021240234,0.0226404666900634,0.0690088272094726,0.0445749759674072,0.0831255912780761,0.1289806365966797,0.1510295867919922,0.161719799041748,0.7985472679138184,0.8259286880493164,0.9174768924713136,0.882279634475708,0.785757303237915,0.7106621265411377,0.7194199562072754,0.8122944831848145
exact_029.hgr,0.0201938152313232,0.0165603160858154,0.0310273170471191,0.0600156784057617,0.0560622215270996,0.0695412158966064,0.0787527561187744,0.0472357273101806,0.0298190116882324,0.0161666870117187,0.02274751663208,0.0254414081573486,0.0391962528228759,0.0226180553436279,0.0477890968322753,0.0386133193969726,0.1331784725189209,0.1313905715942382,0.0433831214904785,0.0859639644622802,0.066364049911499,0.0822038650512695,0.0964486598968505,0.306253433227539
exact_030.hgr,0.239725112915039,0.2379460334777832,0.2578651905059814,0.2263410091400146,0.3594868183135986,0.5890772342681885,0.5461001396179199,0.3865630626678467,0.0430381298065185,0.039844274520874,0.0602664947509765,0.0542900562286376,0.173783540725708,0.1819851398468017,0.2008032798767089,0.1679539680480957,1.2745492458343506,1.7734620571136477,1.533996343612671,2.1807620525360107,2.071519374847412,1.5111215114593506,1.4146311283111572,1.3961615562438965
